"","UniqueSequenceName","Diamond_Hit","Diamond_Percentage_Identity","Diamond_length","Diamond_E_value","Diamond_BitScore","Diamond_qframe"
"1701","SB5_PN_TRINITY_DN15463_c0_g1_i2.p1","CAE1158499.1",91.1,291,8.08e-173,536,0
"1702","SB1_JR_TRINITY_DN58297_c0_g1_i1.p1","CAE1258858.1",94.2,382,9.74999999999999e-273,751,0
"1703","SB1_JR_TRINITY_DN4129_c0_g1_i2.p1","XP_014777908.1",80.1,292,3.8e-180,509,0
"1704","SB6_PN_TRINITY_DN10270_c0_g1_i3.p1","CAE1245480.1",94,215,2.34e-142,414,0
"1705","SB5_PN_TRINITY_DN231_c0_g1_i3.p1","CAE1323305.1",98.5,275,5.38e-185,532,0
"1706","SB5_PN_TRINITY_DN25262_c0_g1_i1.p1","CAE1173160.1",90.7,771,0,1021,0
"1707","SB5_PN_TRINITY_DN7491_c0_g2_i1.p1","CAE1230767.1",87.3,307,8.26e-199,566,0
"1708","SB10_PN_TRINITY_DN57350_c0_g1_i1.p1","CAE1303696.1",75.6,475,1.07e-248,698,0
"1709","SB6_PN_TRINITY_DN5113_c0_g1_i4.p1","CAE1175019.1",85.5,275,3.7e-148,464,0
"1710","SB8_PN_TRINITY_DN34149_c1_g1_i1.p1","CAI9720776.1",75.8,409,4.17e-223,630,0
"1711","SB1_JR_TRINITY_DN33151_c0_g1_i1.p1","CAE1288317.1",89.5,542,0,1028,0
"1712","SB9_PN_TRINITY_DN8723_c0_g1_i8.p1","CAE1312427.1",87.1,280,5.19e-168,490,0
"1713","SB5_PN_TRINITY_DN42867_c0_g1_i2.p1","CAE1257204.1",74.1,116,3.51e-50,181,0
"1714","SB7_PN_TRINITY_DN4935_c0_g1_i1.p1","AER46070.1",72.3,520,3.19e-268,751,0
"1715","SB5_PN_TRINITY_DN36464_c0_g1_i1.p1","CAE1316897.1",73.9,337,5.07e-186,540,0
"1716","SB8_PN_TRINITY_DN66177_c0_g1_i3.p1","CAI9722561.1",71.3,108,1.14e-51,175,0
"1717","SB5_PN_TRINITY_DN231_c0_g1_i2.p1","CAE1323305.1",98.6,210,1.48e-137,407,0
"1718","SB1_JR_TRINITY_DN381_c0_g1_i2.p1","CAE1178314.1",91.8,391,7.38e-281,774,0
"1719","SB6_PN_TRINITY_DN359066_c0_g1_i1.p1","XP_060576095.1",43.1,109,1.66e-23,102,0
"1720","SB1_JR_TRINITY_DN657_c3_g1_i1.p1","CAE1293597.1",73.3,292,3.46e-139,407,0
"1721","SB1_JR_TRINITY_DN8387_c0_g1_i1.p1","XP_029649167.1",68,128,8.01e-56,182,0
"1722","SB1_JR_TRINITY_DN3106_c0_g3_i1.p2","QHI00148.1",98.1,161,1.1e-110,322,0
"1723","SB4_JR_TRINITY_DN33528_c0_g1_i1.p1","CAI9744251.1",34.7,190,4.59e-30,120,0
"1724","SB1_JR_TRINITY_DN40019_c0_g1_i1.p1","CAE1298906.1",91.9,346,1.66e-248,687,0
"1725","SB1_JR_TRINITY_DN3771_c0_g1_i1.p1","CAE1249094.1",96.4,1042,0,1551,0
"1726","SB1_JR_TRINITY_DN56142_c0_g1_i1.p1","CAE1158499.1",90.6,320,1.07e-192,590,0
"1727","SB2_JR_TRINITY_DN2108_c0_g1_i2.p1","XP_052831066.1",67.3,223,6.11e-108,325,0
"1728","SB10_PN_TRINITY_DN5393_c1_g1_i7.p1","XP_014778328.1",45.5,220,1.23e-66,224,0
"1729","SB5_PN_TRINITY_DN42867_c0_g1_i10.p1","CAE1257204.1",72.2,115,4.06e-47,172,0
"1730","SB8_PN_TRINITY_DN2674_c0_g1_i2.p1","XP_029649757.1",47.6,309,2.28e-86,280,0
"1731","SB6_PN_TRINITY_DN6847_c0_g1_i1.p1","CAE1310648.1",95,121,3.52e-71,228,0
"1732","SB6_PN_TRINITY_DN40344_c1_g1_i1.p1","BAI67804.1",64.5,290,8.09e-120,384,0
"1733","SB1_JR_TRINITY_DN11042_c4_g2_i1.p1","CAE1268834.1",93.4,351,1.23e-247,684,0
"1734","SB1_JR_TRINITY_DN5850_c0_g1_i2.p1","XP_029649757.1",51,473,1.03e-164,488,0
"1735","SB9_PN_TRINITY_DN100056_c0_g1_i2.p1","CAE1266505.1",61.7,585,1.24e-226,650,0
"1736","SB6_PN_TRINITY_DN7840_c0_g1_i2.p1","CAE1247237.1",98.1,52,2.61e-31,119,0
"1737","SB5_PN_TRINITY_DN37812_c0_g1_i1.p1","CAE1292234.1",82.8,524,1.31e-290,806,0
"1738","SB5_PN_TRINITY_DN6578_c0_g1_i2.p2","XP_029649757.1",69,58,3.24e-17,87.4,0
"1739","SB5_PN_TRINITY_DN42867_c0_g1_i4.p1","CAE1257204.1",73.1,119,3.32e-49,178,0
"1740","SB1_JR_TRINITY_DN4981_c0_g1_i4.p1","CAI9719638.1",58,376,2.16e-148,437,0
"1741","SB6_PN_TRINITY_DN1809_c0_g1_i26.p1","CAE1321059.1",81.5,422,1.1e-247,702,0
"1742","SB1_JR_TRINITY_DN40236_c0_g1_i1.p1","XP_014783233.1",50.8,476,3.13e-170,500,0
"1743","SB2_JR_TRINITY_DN16250_c0_g1_i2.p1","XP_014774895.1",55.6,487,3.63e-197,568,0
"1744","SB6_PN_TRINITY_DN22424_c0_g1_i4.p1","CAE1304336.1",100,185,3.82e-123,393,0
"1745","SB1_JR_TRINITY_DN42361_c0_g1_i1.p1","AKI30064.1",86.1,223,2.14e-153,435,0
"1746","SB10_PN_TRINITY_DN3783_c0_g1_i1.p1","BBA45694.1",93.7,552,0,1113,0
"1747","SB10_PN_TRINITY_DN87013_c0_g1_i1.p1","XP_029658051.1",50,472,1.58e-171,501,0
"1748","SB1_JR_TRINITY_DN1358_c0_g1_i2.p1","CAE1157554.1",76.7,494,5.81e-233,677,0
"1749","SB6_PN_TRINITY_DN33402_c0_g1_i1.p1","XP_014783233.1",49.8,492,5.18e-163,481,0
"1750","SB5_PN_TRINITY_DN1133_c0_g1_i1.p1","XP_014788268.2",51.1,135,1.25e-39,142,0
"1751","SB1_JR_TRINITY_DN6208_c4_g1_i1.p1","CAE1316953.1",91.1,337,1.37e-213,629,0
"1752","SB5_PN_TRINITY_DN2775_c0_g1_i2.p1","CAE1229005.1",89.3,336,2.88e-219,613,0
"1753","SB8_PN_TRINITY_DN21781_c0_g1_i1.p2","CAE1275166.1",68.6,446,3.6e-211,625,0
"1754","SB5_PN_TRINITY_DN8362_c0_g1_i5.p1","CAI9737811.1",68,206,7.73e-94,288,0
"1755","SB10_PN_TRINITY_DN14640_c0_g1_i6.p1","XP_014770860.1",65,497,1.16e-245,692,0
"1756","SB8_PN_TRINITY_DN1406_c0_g1_i1.p1","CAE1248535.1",70.9,537,1.92e-244,694,0
"1757","SB10_PN_TRINITY_DN1123_c0_g1_i3.p1","BAS05959.1",56.8,347,3.83e-131,394,0
"1758","SB10_PN_TRINITY_DN2905_c0_g1_i2.p1","CAE1293126.1",93.6,360,1.12e-251,712,0
"1759","SB6_PN_TRINITY_DN91640_c1_g2_i2.p1","CAE1257204.1",73.6,121,8.04e-50,181,0
"1760","SB2_JR_TRINITY_DN652_c3_g1_i1.p1","XP_029644661.1",60.5,458,5.16e-200,573,0
"1761","SB10_PN_TRINITY_DN1754_c0_g1_i1.p1","CAE1248535.1",65.3,582,1.12e-235,674,0
"1762","SB5_PN_TRINITY_DN19533_c0_g1_i2.p1","CAE1246872.1",83.7,430,3.23e-267,747,0
"1763","SB7_PN_TRINITY_DN75552_c0_g1_i1.p1","CAE1177642.1",83.1,693,0,1237,0
"1764","SB3_JR_TRINITY_DN7343_c0_g1_i3.p1","CAI9714745.1",42.1,707,1.08e-193,580,0
"1765","SB5_PN_TRINITY_DN1552_c0_g1_i1.p1","CAI9714745.1",42.6,777,6.56e-214,635,0
"1766","SB4_JR_TRINITY_DN6628_c0_g1_i1.p1","CAE1293597.1",73.5,309,2.53e-136,400,0
"1767","SB1_JR_TRINITY_DN5034_c2_g1_i1.p1","CAE1246888.1",52.3,679,1.96e-218,629,0
"1768","SB5_PN_TRINITY_DN7115_c0_g1_i1.p1","CAI9723876.1",63.8,492,2.64e-218,622,0
"1769","SB6_PN_TRINITY_DN28148_c0_g1_i5.p1","CAE1274104.1",88.9,485,0,968,0
"1770","SB1_JR_TRINITY_DN8277_c0_g1_i2.p1","CAE1165835.1",99.2,639,0,1313,0
"1771","SB5_PN_TRINITY_DN35266_c0_g1_i1.p1","CAI9739404.1",64,948,0,1230,0
"1772","SB7_PN_TRINITY_DN43156_c0_g1_i4.p1","CAE1251480.1",95.4,647,0,1134,0
"1773","SB6_PN_TRINITY_DN43312_c0_g1_i4.p1","CAE1301376.1",58.2,579,1.39e-211,616,0
"1774","SB4_JR_TRINITY_DN1366_c0_g1_i2.p1","CAE1325147.1",98.3,934,0,1873,0
"1775","SB8_PN_TRINITY_DN47195_c0_g1_i2.p1","CAE1289477.1",89.9,268,7.78e-171,504,0
"1776","SB4_JR_TRINITY_DN26625_c0_g1_i2.p1","CAI9723876.1",65.8,486,4.28e-227,644,0
"1777","SB1_JR_TRINITY_DN463_c0_g1_i1.p1","CAE1299726.1",96,796,0,1398,0
"1778","SB5_PN_TRINITY_DN23112_c0_g2_i2.p2","CAE1303696.1",90.2,266,4.76e-171,491,0
"1779","SB2_JR_TRINITY_DN3178_c0_g1_i1.p1","CAE1315989.1",94.8,325,2.17e-233,661,0
"1780","SB9_PN_TRINITY_DN19174_c0_g1_i1.p1","BAX02571.1",48.6,521,9.81e-175,515,0
"1781","SB10_PN_TRINITY_DN94946_c0_g1_i1.p1","CAE1307838.1",73.3,165,7.3e-82,253,0
"1782","SB6_PN_TRINITY_DN16112_c0_g1_i2.p1","CAE1316867.1",90.7,518,2.25e-143,446,0
"1783","SB5_PN_TRINITY_DN129387_c0_g1_i1.p1","CAE1157298.1",90,623,0,1170,0
"1784","SB10_PN_TRINITY_DN1797_c0_g1_i5.p1","CAE1307007.1",81.5,151,1.61e-72,241,0
"1785","SB10_PN_TRINITY_DN56585_c0_g1_i1.p1","CAE1323101.1",98.5,201,8.54e-139,396,0
"1786","SB8_PN_TRINITY_DN173_c1_g1_i4.p1","CAI9723757.1",63.5,1431,0,1537,0
"1787","SB1_JR_TRINITY_DN20619_c0_g1_i1.p1","CAE1234393.1",95.7,395,9.91e-292,805,0
"1788","SB6_PN_TRINITY_DN94500_c0_g2_i5.p1","XP_052823100.1",79.9,710,0,1138,0
"1789","SB8_PN_TRINITY_DN101192_c0_g1_i1.p1","KAJ8310971.1",76.4,127,2.25e-71,222,0
"1790","SB4_JR_TRINITY_DN64561_c0_g1_i4.p1","XP_013415572.1",43.6,303,1.32e-83,271,0
"1791","SB10_PN_TRINITY_DN65032_c0_g1_i1.p1","CAE1233689.1",88.5,434,1.06e-308,848,0
"1792","SB2_JR_TRINITY_DN874_c2_g1_i3.p1","XP_052829737.1",55.6,1243,0,988,0
"1793","SB1_JR_TRINITY_DN345_c0_g1_i1.p1","CAE1282782.1",87.2,679,0,1194,0
"1794","SB8_PN_TRINITY_DN3838_c0_g1_i3.p1","XP_052823101.1",85.4,410,3.87e-254,718,0
"1795","SB5_PN_TRINITY_DN34759_c0_g2_i2.p1","CAE1306566.1",94.7,470,0,913,0
"1796","SB1_JR_TRINITY_DN953_c0_g4_i1.p1","XP_029636609.1",63.1,141,3.44e-63,200,0
"1797","SB6_PN_TRINITY_DN292167_c0_g1_i3.p1","XP_014783233.1",48.5,198,4.88e-65,220,0
"1798","SB6_PN_TRINITY_DN1274_c0_g1_i2.p1","XP_029641000.1",71.6,215,8.29e-107,333,0
"1799","SB1_JR_TRINITY_DN410_c1_g1_i2.p1","CAE1274102.1",91.4,740,0,1456,0
"1800","SB9_PN_TRINITY_DN42233_c0_g1_i1.p1","XP_045165397.2",36.2,232,1.01e-44,163,0
"1801","SB5_PN_TRINITY_DN212_c0_g1_i2.p1","CAE1305779.1",73.4,470,5.97e-261,732,0
"1802","SB3_JR_TRINITY_DN121_c0_g1_i8.p1","XP_014782596.1",58.7,201,1.66e-73,238,0
"1803","SB10_PN_TRINITY_DN2715_c0_g1_i1.p1","XP_029636609.1",63.1,141,1.34e-62,199,0
"1804","SB1_JR_TRINITY_DN8860_c0_g1_i1.p1","XP_029653504.1",57.1,168,4.05e-65,214,0
"1805","SB10_PN_TRINITY_DN832_c0_g1_i5.p2","CAE1268829.1",93.8,130,9.98e-84,256,0
"1806","SB6_PN_TRINITY_DN17598_c0_g1_i3.p1","CAE1320293.1",98.6,220,7.1e-153,452,0
"1807","SB3_JR_TRINITY_DN9838_c0_g1_i2.p1","CAE1286244.1",79,338,6.38e-189,535,0
"1808","SB1_JR_TRINITY_DN1225_c0_g2_i5.p1","XP_029645037.1",51,192,1.58e-55,185,0
"1809","SB3_JR_TRINITY_DN2849_c0_g1_i1.p1","CAE1234393.1",63.1,404,1.17e-168,489,0
"1810","SB8_PN_TRINITY_DN1900_c0_g1_i10.p1","CAE1277398.1",89.2,343,2.52e-222,646,0
"1811","SB3_JR_TRINITY_DN6316_c0_g1_i3.p1","CAE1157554.1",76.4,504,1.65e-232,676,0
"1812","SB2_JR_TRINITY_DN55137_c0_g1_i1.p1","CAE1265924.1",90.7,378,9.85000000000000e-262,723,0
"1813","SB5_PN_TRINITY_DN7546_c0_g1_i1.p1","XP_014786701.1",52.4,166,6.3e-52,177,0
"1814","SB2_JR_TRINITY_DN57022_c0_g1_i1.p1","CAE1264452.1",88.3,315,1.68e-206,580,0
"1815","SB6_PN_TRINITY_DN192153_c0_g1_i4.p1","CAE1264448.1",98.4,315,1.01e-234,652,0
"1816","SB1_JR_TRINITY_DN4092_c0_g1_i1.p1","CAE1272941.1",85.8,430,8.34e-270,748,0
"1817","SB1_JR_TRINITY_DN312_c0_g2_i10.p1","XP_046549759.1",33.8,544,1.14e-100,327,0
"1818","SB1_JR_TRINITY_DN64084_c0_g1_i1.p1","ALM01449.1",94.2,259,5.3e-151,509,0
"1819","SB1_JR_TRINITY_DN56299_c1_g1_i1.p1","XP_014785202.1",60.7,224,5.36e-101,305,0
"1820","SB4_JR_TRINITY_DN4533_c0_g1_i2.p1","CAI9727352.1",59.2,265,3.39e-92,327,0
"1821","SB6_PN_TRINITY_DN56214_c0_g2_i1.p1","XP_052829695.1",68.6,210,2.5e-91,292,0
"1822","SB7_PN_TRINITY_DN88422_c0_g1_i1.p1","XP_013415572.1",38.7,344,3.19e-76,254,0
"1823","SB8_PN_TRINITY_DN91461_c0_g1_i1.p1","XP_036364764.1",58.4,296,7.63e-118,351,0
"1824","SB10_PN_TRINITY_DN6448_c1_g1_i1.p1","XP_029645363.1",53.5,301,1.06e-106,323,0
"1825","SB8_PN_TRINITY_DN309_c0_g1_i2.p1","CAE1286049.1",94,381,1.58e-254,709,0
"1826","SB1_JR_TRINITY_DN7724_c0_g1_i1.p1","CAE1157404.1",92.3,520,0,986,0
"1827","SB8_PN_TRINITY_DN941_c0_g1_i10.p1","CAE1295985.1",90.1,191,2.11e-115,341,0
"1828","SB10_PN_TRINITY_DN451_c0_g1_i6.p1","CAE1160412.1",96.3,267,3.24e-165,497,0
"1829","SB1_JR_TRINITY_DN68_c0_g1_i3.p1","XP_014782596.1",59.9,262,9.66e-104,318,0
"1830","SB5_PN_TRINITY_DN1165_c0_g2_i9.p1","XP_020899267.2",45.7,92,1.52e-23,103,0
"1831","SB4_JR_TRINITY_DN4577_c0_g1_i1.p1","XP_029644953.1",54.5,479,4.59e-186,540,0
"1832","SB7_PN_TRINITY_DN1094_c0_g1_i2.p1","ALM01449.1",83.7,258,7.87e-134,461,0
"1833","SB5_PN_TRINITY_DN1133_c0_g1_i2.p1","XP_014788268.2",53.1,196,4.86e-75,235,0
"1834","SB1_JR_TRINITY_DN775_c0_g1_i1.p1","XP_052832783.1",75,332,6e-167,481,0
"1835","SB1_JR_TRINITY_DN23_c0_g1_i1.p1","CAE1318502.1",95.5,247,2.61e-157,511,0
"1836","SB8_PN_TRINITY_DN7626_c0_g1_i2.p1","XP_014770363.1",92.4,158,5.9e-98,311,0
"1837","SB10_PN_TRINITY_DN4895_c0_g1_i1.p1","CAE1153071.1",92.4,644,0,1248,0
"1838","SB2_JR_TRINITY_DN18938_c1_g1_i3.p2","XP_052823104.1",91.3,288,4.07e-195,559,0
"1839","SB10_PN_TRINITY_DN5507_c0_g2_i1.p1","XP_014781253.2",56,298,1.43e-114,345,0
"1840","SB8_PN_TRINITY_DN81936_c0_g1_i1.p1","CAE1243216.1",87.4,174,1.55e-102,312,0
"1841","SB10_PN_TRINITY_DN3938_c4_g1_i1.p1","CAE1267166.1",96.9,508,0,1028,0
"1842","SB9_PN_TRINITY_DN83788_c0_g1_i2.p1","XP_029651083.1",62.6,139,2.84e-54,189,0
"1843","SB6_PN_TRINITY_DN120128_c0_g2_i2.p1","CAI9744352.1",27.9,201,5.8e-11,73.9,0
"1844","SB10_PN_TRINITY_DN81718_c0_g1_i1.p1","XP_029634136.1",72,304,6.31e-152,438,0
"1845","SB8_PN_TRINITY_DN99891_c0_g1_i1.p1","CAI9722116.1",52.3,300,7.35e-106,321,0
"1846","SB1_JR_TRINITY_DN499_c0_g1_i2.p1","CAE1274104.1",87.9,746,0,1471,0
"1847","SB1_JR_TRINITY_DN410_c1_g1_i1.p1","CAE1274102.1",90.1,845,0,1628,0
"1848","SB7_PN_TRINITY_DN51717_c0_g1_i1.p1","XP_022286837.1",48.8,861,2.59e-297,857,0
"1849","SB6_PN_TRINITY_DN1120_c0_g1_i4.p1","CAE1178314.1",91.7,96,1.19e-58,197,0
"1850","SB2_JR_TRINITY_DN927_c3_g1_i5.p1","KAJ3559794.1",33.3,231,1.46e-30,126,0
"1851","SB1_JR_TRINITY_DN469_c2_g1_i3.p1","KAI0740168.1",30,230,4.67e-26,114,0
"1852","SB1_JR_TRINITY_DN7485_c1_g1_i6.p1","CAE1268868.1",91.9,320,3.32e-228,634,0
"1853","SB6_PN_TRINITY_DN37027_c0_g2_i2.p1","CAE1143476.1",93.1,216,3.03e-146,421,0
"1854","SB10_PN_TRINITY_DN37712_c0_g1_i2.p1","CAE1258372.1",89,146,1.66e-83,287,0
"1855","SB10_PN_TRINITY_DN3092_c1_g1_i2.p1","CAE1226250.1",96.9,419,1.18e-248,744,0
"1856","SB2_JR_TRINITY_DN74965_c0_g1_i1.p1","CAE1288599.1",58.2,79,8.03e-19,88.2,0
"1857","SB6_PN_TRINITY_DN9539_c0_g1_i1.p1","XP_052828520.1",86.2,464,9.92999999999999e-304,854,0
"1858","SB9_PN_TRINITY_DN15917_c2_g1_i2.p1","CAE1315965.1",91.5,129,1.49e-81,258,0
"1859","SB1_JR_TRINITY_DN3198_c1_g1_i1.p1","CAE1311892.1",97.4,153,7.22e-106,315,0
"1860","SB6_PN_TRINITY_DN69122_c0_g2_i2.p1","CAE1272698.1",88.9,162,3.39e-70,227,0
"1861","SB6_PN_TRINITY_DN13591_c0_g2_i1.p1","CAE1171421.1",87.1,255,6.58e-126,375,0
"1862","SB8_PN_TRINITY_DN5648_c0_g1_i1.p1","CAE1318331.1",93.8,240,1.66e-161,457,0
"1863","SB6_PN_TRINITY_DN3598_c0_g1_i8.p1","CAE1263505.1",75.7,181,2.49e-89,298,0
"1864","SB4_JR_TRINITY_DN4577_c0_g1_i2.p1","XP_029644953.1",55.2,467,1.97e-186,541,0
"1865","SB6_PN_TRINITY_DN9539_c0_g1_i2.p1","XP_052828520.1",82.5,587,0,1041,0
"1866","SB1_JR_TRINITY_DN66163_c0_g1_i1.p1","CAE1288601.1",94.7,132,7.42e-81,247,0
"1867","SB6_PN_TRINITY_DN224581_c0_g1_i1.p1","AHH31547.1",96.2,158,2.88e-91,273,0
"1868","SB1_JR_TRINITY_DN775_c0_g1_i4.p1","CAI9740978.1",75.9,328,8.42e-176,500,0
"1869","SB10_PN_TRINITY_DN993_c0_g1_i2.p1","CAE1320628.1",88.4,447,2.19e-304,837,0
"1870","SB11_PN_TRINITY_DN21599_c0_g1_i1.p1","CAE1320628.1",89.3,467,0,885,0
"1871","SB5_PN_TRINITY_DN131196_c0_g1_i2.p1","CAE1305213.1",91.9,728,0,1304,0
"1872","SB10_PN_TRINITY_DN8373_c0_g1_i1.p1","AHH31546.1",97.3,147,2.17e-83,252,0
"1873","SB8_PN_TRINITY_DN37351_c0_g1_i1.p1","CAE1157298.1",96,126,2.78e-81,263,0
"1874","SB10_PN_TRINITY_DN79751_c0_g1_i2.p1","CAE1303697.1",98.5,198,4.62e-142,408,0
"1875","SB2_JR_TRINITY_DN2342_c0_g1_i3.p1","XP_014770024.2",36.7,346,1.4e-82,266,0
"1876","SB6_PN_TRINITY_DN32361_c0_g1_i4.p1","CAI9728510.1",87.7,81,2.49e-41,150,0
"1877","SB10_PN_TRINITY_DN3912_c0_g2_i1.p1","CAE1140956.1",67.8,115,3.17e-47,162,0
"1878","SB10_PN_TRINITY_DN79751_c0_g1_i1.p1","CAE1303700.1",98.7,223,2.01e-162,461,0
"1879","SB3_JR_TRINITY_DN14663_c0_g1_i3.p1","CAE1268115.1",95.1,183,1.19e-91,303,0
"1880","SB10_PN_TRINITY_DN654_c0_g1_i2.p2","CAE1274104.1",88.1,185,1.96e-113,355,0
"1881","SB8_PN_TRINITY_DN7702_c0_g1_i3.p1","CAE1286244.1",51,247,3.1e-63,212,0
"1882","SB5_PN_TRINITY_DN24308_c0_g1_i1.p1","CAE1153395.1",90.9,66,1.78e-26,116,0
"1883","SB5_PN_TRINITY_DN6095_c1_g1_i4.p1","CAE1329647.1",63.8,389,4.8e-171,507,0
"1884","SB3_JR_TRINITY_DN25051_c0_g1_i1.p1","CAE1332072.1",95.1,103,4.12e-60,198,0
"1885","SB11_PN_TRINITY_DN32637_c0_g1_i1.p1","CAE1140956.1",94.8,116,5.92e-68,215,0
"1886","SB10_PN_TRINITY_DN5542_c0_g1_i2.p1","CAE1289372.1",91.8,159,6.11e-102,304,0
"1887","SB4_JR_TRINITY_DN3180_c0_g1_i1.p1","CAI9734155.1",61.4,171,1.77e-60,208,0
"1888","SB5_PN_TRINITY_DN146_c1_g1_i7.p1","XP_046546498.1",28.6,199,7.76e-16,89,0
"1889","SB7_PN_TRINITY_DN340_c1_g2_i1.p1","CAE1313662.1",90.6,286,3.41e-174,510,0
"1890","SB5_PN_TRINITY_DN166814_c0_g1_i1.p1","CAE1304708.1",80.9,404,1.16e-225,631,0
"1891","SB5_PN_TRINITY_DN102_c0_g1_i1.p1","CAE1157554.1",75.5,494,3.17e-232,674,0
"1892","SB8_PN_TRINITY_DN948_c0_g1_i6.p1","CAI9735064.1",49.6,131,3.25e-34,138,0
"1893","SB1_JR_TRINITY_DN11377_c0_g1_i2.p1","CAE1318880.1",98.3,180,3.1e-120,366,0
"1894","SB6_PN_TRINITY_DN11196_c1_g2_i1.p1","CAE1316812.1",82,200,5.78e-118,346,0
"1895","SB5_PN_TRINITY_DN1092_c0_g1_i6.p1","CAE1252335.1",94.7,320,4.74e-216,623,0
"1896","SB5_PN_TRINITY_DN1785_c0_g2_i9.p1","CAE1328800.1",90.7,364,6.7e-240,672,0
"1897","SB7_PN_TRINITY_DN702_c0_g1_i6.p1","CAI9740978.1",75.6,328,6.57e-173,493,0
"1898","SB1_JR_TRINITY_DN6867_c0_g1_i1.p1","CAE1233746.1",79.3,435,5.95e-254,708,0
"1899","SB5_PN_TRINITY_DN2815_c0_g1_i10.p1","CAE1263505.1",83.5,849,0,1357,0
"1900","SB6_PN_TRINITY_DN30906_c0_g1_i1.p2","CAE1233746.1",92.3,91,4.41e-52,181,0
"1901","SB8_PN_TRINITY_DN3368_c0_g1_i1.p1","XP_052833195.1",57,149,3.29e-49,171,0
"1902","SB5_PN_TRINITY_DN94718_c0_g1_i2.p1","CAE1283757.1",95,179,2.9e-110,339,0
"1903","SB1_JR_TRINITY_DN631_c0_g1_i1.p1","XP_014788740.1",42.1,126,1.68e-19,92.4,0
"1904","SB1_JR_TRINITY_DN1734_c0_g1_i1.p1","CAI9741102.1",62.4,189,3.21e-82,252,0
"1905","SB3_JR_TRINITY_DN5930_c0_g1_i2.p1","CAI9743228.1",53,411,4.45e-142,422,0
"1906","SB2_JR_TRINITY_DN2307_c0_g1_i3.p2","CAI9734155.1",62,171,2.41e-61,209,0
"1907","SB2_JR_TRINITY_DN3967_c0_g1_i3.p1","CAE1310736.1",76.8,353,2.55e-186,563,0
"1908","SB6_PN_TRINITY_DN170591_c1_g2_i3.p1","CAE1306025.1",81.1,481,7.23e-305,842,0
"1909","SB1_JR_TRINITY_DN41027_c0_g1_i1.p1","CAE1297656.1",90.6,350,1.23e-230,642,0
"1910","SB5_PN_TRINITY_DN24308_c0_g1_i2.p1","CAE1153395.1",79.2,77,7.09e-27,119,0
"1911","SB4_JR_TRINITY_DN1122_c1_g2_i2.p1","CAE1255677.1",93.6,297,6.05e-214,596,0
"1912","SB9_PN_TRINITY_DN9454_c0_g1_i2.p1","BBU59752.1",91.3,551,0,1055,0
"1913","SB5_PN_TRINITY_DN1785_c0_g2_i6.p1","CAE1328800.1",92.8,319,5.8e-217,611,0
"1914","SB3_JR_TRINITY_DN47724_c0_g1_i1.p1","CAE1304708.1",99.1,229,3.69e-162,465,0
"1915","SB1_JR_TRINITY_DN444_c3_g1_i2.p1","CAE1149020.1",65.8,120,1.18e-41,160,0
"1916","SB1_JR_TRINITY_DN8380_c0_g1_i1.p1","MDK0675402.1",69.3,166,4.01e-76,239,0
"1917","SB10_PN_TRINITY_DN865_c0_g1_i2.p1","MDK0675402.1",78.9,166,3.8e-86,265,0
"1918","SB6_PN_TRINITY_DN655_c0_g1_i1.p1","CAE1271263.1",96.9,193,8.24e-128,376,0
"1919","SB8_PN_TRINITY_DN3957_c0_g2_i1.p1","CAE1328800.1",92.9,397,3.22e-273,757,0
"1920","SB7_PN_TRINITY_DN5516_c0_g1_i4.p1","CAE1153071.1",92.3,574,0,1108,0
"1921","SB10_PN_TRINITY_DN16640_c0_g1_i2.p2","CAE1318317.1",78.4,111,1.83e-51,181,0
"1922","SB5_PN_TRINITY_DN29553_c0_g1_i5.p1","CAE1167681.1",91.6,479,0,891,0
"1923","SB3_JR_TRINITY_DN1450_c2_g1_i2.p1","XP_029647613.1",57.4,706,1.92e-259,761,0
"1924","SB6_PN_TRINITY_DN1025_c1_g1_i4.p1","CAE1260802.1",98,149,5.84e-94,299,0
"1925","SB7_PN_TRINITY_DN90195_c0_g1_i1.p1","KAJ3116169.1",33.9,165,1.61e-14,83.2,0
"1926","SB10_PN_TRINITY_DN20837_c0_g1_i2.p1","CAE1176952.1",78.2,156,8.73e-89,272,0
"1927","SB2_JR_TRINITY_DN2401_c0_g1_i2.p1","XP_036364192.1",73.3,318,7.17e-154,452,0
"1928","SB6_PN_TRINITY_DN109480_c1_g1_i2.p1","XP_052826396.1",87.8,979,0,1728,0
"1929","SB12_PN_TRINITY_DN49369_c0_g1_i1.p1","CAE1153472.1",51.7,60,1.42e-10,66.6,0
"1930","SB9_PN_TRINITY_DN1446_c0_g2_i2.p1","CAE1286223.1",57.7,142,3.4e-49,169,0
"1931","SB1_JR_TRINITY_DN19527_c0_g1_i1.p1","CAE1315989.1",91.3,623,0,1194,0
"1932","SB12_PN_TRINITY_DN598_c0_g2_i5.p1","ACJ22638.1",94.1,204,8.06e-134,387,0
"1933","SB1_JR_TRINITY_DN7911_c0_g1_i1.p1","CAE1247237.1",97.6,165,2.72e-129,372,0
"1934","SB6_PN_TRINITY_DN110924_c1_g2_i2.p1","CAE1312074.1",99.2,122,7.26e-72,243,0
"1935","SB1_JR_TRINITY_DN262_c0_g1_i9.p2","XP_029656030.1",44,141,1.95e-39,146,0
